path,split,age
imdb-clean-1024/61/nm2062561_rm3176052736_1992-7-3_2007.jpg,train,15
imdb-clean-1024/12/nm0914612_rm969709568_1990-4-15_2005.jpg,train,15
imdb-clean-1024/05/nm2425105_rm2674121472_1998-12-15_2013.jpg,train,15
imdb-clean-1024/73/nm2832473_rm2038085120_1997-8-10_2012.jpg,train,15
imdb-clean-1024/48/nm1497548_rm3672487936_1996-2-9_2011.jpg,train,15
imdb-clean-1024/79/nm2030779_rm353405952_1994-4-18_2009.jpg,train,15
imdb-clean-1024/66/nm1836666_rm3542587136_1991-6-4_2006.jpg,train,15
imdb-clean-1024/80/nm0001580_rm2087890944_1986-6-13_2001.jpg,train,15
imdb-clean-1024/67/nm2421367_rm2040524800_1995-4-15_2010.jpg,train,15
imdb-clean-1024/65/nm0926165_rm3631064576_1988-6-9_2003.jpg,train,15
imdb-clean-1024/25/nm1411125_rm4104826880_1992-7-22_2007.jpg,train,15
imdb-clean-1024/51/nm0005151_rm1177524736_1990-10-22_2005.jpg,train,15
imdb-clean-1024/93/nm0184893_rm2369031680_1970-8-6_1985.jpg,train,15
imdb-clean-1024/53/nm0160553_rm2384834560_1991-12-12_2006.jpg,train,15
imdb-clean-1024/69/nm0000369_rm3864834048_1964-2-18_1979.jpg,train,15
imdb-clean-1024/00/nm0289200_rm563198464_1996-7-23_2011.jpg,train,15
imdb-clean-1024/56/nm0705356_rm1234144256_1989-7-23_2004.jpg,train,15
imdb-clean-1024/65/nm0926165_rm3614287360_1988-6-9_2003.jpg,train,15
imdb-clean-1024/27/nm0208527_rm1549179648_1987-6-16_2002.jpg,train,15
imdb-clean-1024/00/nm0624900_rm379311104_1991-9-19_2006.jpg,train,15
imdb-clean-1024/37/nm1670137_rm1673757952_1995-7-9_2010.jpg,train,15
imdb-clean-1024/89/nm0427489_rm3627194112_1993-10-8_2008.jpg,train,15
imdb-clean-1024/12/nm0914612_rm3651634944_1990-4-15_2005.jpg,train,15
imdb-clean-1024/15/nm2380515_rm1922602496_1987-1-2_2002.jpg,train,15
imdb-clean-1024/43/nm2215143_rm2260323072_1999-11-10_2014.jpg,train,15
imdb-clean-1024/05/nm0086205_rm2453507584_1980-4-29_1995.jpg,train,15
imdb-clean-1024/62/nm2794962_rm510901760_1996-12-11_2011.jpg,train,15
imdb-clean-1024/62/nm2185462_rm4259885824_1996-4-23_2011.jpg,train,15
imdb-clean-1024/61/nm0095561_rm385587456_1987-8-18_2002.jpg,train,15
imdb-clean-1024/20/nm1767820_rm27361280_1995-9-20_2010.jpg,train,15
imdb-clean-1024/74/nm2254074_rm3485118720_1997-10-8_2012.jpg,train,15
imdb-clean-1024/25/nm2267725_rm3197360896_1991-10-17_2006.jpg,train,15
imdb-clean-1024/59/nm1822659_rm2634973184_1994-12-17_2009.jpg,train,15
imdb-clean-1024/03/nm0383603_rm3435629824_1992-2-14_2007.jpg,train,15
imdb-clean-1024/23/nm1535523_rm3073550080_1998-7-8_2013.jpg,train,15
imdb-clean-1024/37/nm1670137_rm1824752896_1995-7-9_2010.jpg,train,15
imdb-clean-1024/56/nm0705356_rm1426561536_1989-7-23_2004.jpg,train,15
imdb-clean-1024/21/nm0174021_rm2724838144_1989-2-21_2004.jpg,train,15
imdb-clean-1024/80/nm1519680_rm3950087680_1994-4-12_2009.jpg,train,15
imdb-clean-1024/71/nm1545471_rm863603200_1994-12-3_2009.jpg,train,15
imdb-clean-1024/24/nm0266824_rm4243229952_1994-2-23_2009.jpg,train,15
imdb-clean-1024/93/nm1248393_rm92903680_1990-8-17_2005.jpg,train,15
imdb-clean-1024/56/nm0302356_rm279091968_1985-2-9_2000.jpg,train,15
imdb-clean-1024/25/nm1411125_rm4037718016_1992-7-22_2007.jpg,train,15
imdb-clean-1024/00/nm3256000_rm686852864_1985-9-29_2000.jpg,train,15
imdb-clean-1024/97/nm0000397_rm2539961088_1971-7-16_1986.jpg,train,15
imdb-clean-1024/07/nm1525807_rm1944632832_1996-1-31_2011.jpg,train,15
imdb-clean-1024/63/nm0659363_rm1516214272_1989-8-21_2004.jpg,train,15
imdb-clean-1024/21/nm1428821_rm3027485184_1999-7-30_2014.jpg,train,15
imdb-clean-1024/60/nm0005260_rm3911358976_1985-12-5_2000.jpg,train,15
imdb-clean-1024/39/nm1011439_rm798857984_1986-6-4_2001.jpg,train,15
imdb-clean-1024/39/nm2219339_rm410237440_1996-7-31_2011.jpg,train,15
imdb-clean-1024/56/nm0773056_rm1435733248_1988-8-16_2003.jpg,train,15
imdb-clean-1024/62/nm2185462_rm3337138944_1996-4-23_2011.jpg,train,15
imdb-clean-1024/21/nm0174021_rm2959719168_1989-2-21_2004.jpg,train,15
imdb-clean-1024/21/nm1428821_rm197053696_1999-7-30_2014.jpg,train,15
imdb-clean-1024/18/nm3006818_rm2842072064_1988-11-9_2003.jpg,train,15
imdb-clean-1024/27/nm0208527_rm1582734080_1987-6-16_2002.jpg,train,15
imdb-clean-1024/67/nm0503567_rm2699467520_1992-1-19_2007.jpg,train,15
imdb-clean-1024/80/nm1519680_rm3983642112_1994-4-12_2009.jpg,train,15
imdb-clean-1024/24/nm0266824_rm1849002496_1994-2-23_2009.jpg,train,15
imdb-clean-1024/50/nm1113550_rm2368059904_1996-4-14_2011.jpg,train,15
imdb-clean-1024/80/nm1519680_rm2741145088_1994-4-12_2009.jpg,train,15
imdb-clean-1024/25/nm1411125_rm4138381312_1992-7-22_2007.jpg,train,15
imdb-clean-1024/61/nm2062561_rm1743100672_1992-7-3_2007.jpg,train,15
imdb-clean-1024/61/nm2778261_rm3633429248_1995-5-12_2010.jpg,train,15
imdb-clean-1024/82/nm0004782_rm552048896_1984-11-16_1999.jpg,train,15
imdb-clean-1024/86/nm0891786_rm4172126464_1988-8-27_2003.jpg,train,15
imdb-clean-1024/86/nm0891786_rm2978847488_1988-8-27_2003.jpg,train,15
imdb-clean-1024/60/nm1814260_rm3365178112_1990-1-26_2005.jpg,train,15
imdb-clean-1024/21/nm1428821_rm961793792_1999-7-30_2014.jpg,train,15
imdb-clean-1024/57/nm0271657_rm3495860480_1987-9-22_2002.jpg,train,15
imdb-clean-1024/98/nm2876098_rm402170880_1998-7-7_2013.jpg,train,15
imdb-clean-1024/21/nm1428821_rm810798848_1999-7-30_2014.jpg,train,15
imdb-clean-1024/53/nm0160553_rm3206918144_1991-12-12_2006.jpg,train,15
imdb-clean-1024/81/nm0669681_rm28940544_1986-11-10_2001.jpg,train,15
imdb-clean-1024/50/nm1113550_rm663861760_1996-4-14_2011.jpg,train,15
imdb-clean-1024/18/nm3006818_rm4283536384_1988-11-9_2003.jpg,train,15
imdb-clean-1024/42/nm3652842_rm642368256_1999-4-9_2014.jpg,train,15
imdb-clean-1024/81/nm1455681_rm2174588416_1993-12-8_2008.jpg,train,15
imdb-clean-1024/81/nm1455681_rm1896323072_1993-12-8_2008.jpg,train,15
imdb-clean-1024/05/nm2425105_rm2422463232_1998-12-15_2013.jpg,train,15
imdb-clean-1024/92/nm5617092_rm2968646144_2000-5-16_2015.jpg,train,15
imdb-clean-1024/21/nm1428821_rm834587904_1999-7-30_2014.jpg,train,15
imdb-clean-1024/63/nm0659363_rm1881507840_1989-8-21_2004.jpg,train,15
imdb-clean-1024/50/nm1501050_rm2773131520_1997-1-24_2012.jpg,train,15
imdb-clean-1024/63/nm0659363_rm639150848_1989-8-21_2004.jpg,train,15
imdb-clean-1024/50/nm1113550_rm1954987520_1996-4-14_2011.jpg,train,15
imdb-clean-1024/32/nm2924932_rm2140706304_1987-3-25_2002.jpg,train,15
imdb-clean-1024/57/nm1507857_rm1453496576_1992-9-28_2007.jpg,train,15
imdb-clean-1024/31/nm1491631_rm3138754048_1992-3-29_2007.jpg,train,15
